sale_date,atc_category,medicine_name,sales_amount
2023-01-26,Cardiovascular,Amlodipine,1173.71
2023-01-26,Antibiotics,Ciprofloxacin,1706.96
2023-01-26,Analgesics,Ibuprofen,1865.34
2023-01-27,Cardiovascular,Amlodipine,1840.18
2023-01-27,Antibiotics,Amoxicillin,2034.46
2023-01-27,Analgesics,Aspirin,1182.28
2023-01-28,Cardiovascular,Atorvastatin,974.41
2023-01-28,Antibiotics,Amoxicillin,961.09
2023-01-28,Analgesics,Aspirin,1431.27
2023-01-29,Cardiovascular,Atorvastatin,1831.3
2023-01-29,Antibiotics,Ciprofloxacin,832.96
2023-01-29,Analgesics,Aspirin,2107.19
2023-01-30,Cardiovascular,Amlodipine,824.5
2023-01-30,Antibiotics,Ciprofloxacin,1808.22
2023-01-30,Analgesics,Paracetamol,871.73
2023-01-31,Cardiovascular,Amlodipine,2465.9
2023-01-31,Antibiotics,Azithromycin,1236.61
2023-01-31,Analgesics,Aspirin,913.08
2023-02-01,Cardiovascular,Losartan,1288.17
2023-02-01,Antibiotics,Azithromycin,1827.54
2023-02-01,Analgesics,Paracetamol,695.64
2023-02-02,Cardiovascular,Losartan,1515.12
2023-02-02,Antibiotics,Ciprofloxacin,1683.71
2023-02-02,Analgesics,Paracetamol,2365.93
2023-02-03,Cardiovascular,Losartan,1742.88
2023-02-03,Antibiotics,Azithromycin,887.53
2023-02-03,Analgesics,Paracetamol,1003.56
2023-02-04,Cardiovascular,Atorvastatin,931.16
2023-02-04,Antibiotics,Amoxicillin,1329.99
2023-02-04,Analgesics,Aspirin,879.31
2023-02-05,Cardiovascular,Atorvastatin,1044.05
2023-02-05,Antibiotics,Ciprofloxacin,1129.43
2023-02-05,Analgesics,Aspirin,2031.22
2023-02-06,Cardiovascular,Losartan,1506.49
2023-02-06,Antibiotics,Azithromycin,825.31
2023-02-06,Analgesics,Aspirin,1518.19
2023-02-07,Cardiovascular,Amlodipine,2392.05
2023-02-07,Antibiotics,Ciprofloxacin,2402.99
2023-02-07,Analgesics,Ibuprofen,845.15
2023-02-08,Cardiovascular,Atorvastatin,2446.65
2023-02-08,Antibiotics,Amoxicillin,2020.64
2023-02-08,Analgesics,Aspirin,2140.98
2023-02-09,Cardiovascular,Amlodipine,2278.8
2023-02-09,Antibiotics,Azithromycin,630.7
2023-02-09,Analgesics,Paracetamol,1492.75
2023-02-10,Cardiovascular,Losartan,704.2
2023-02-10,Antibiotics,Amoxicillin,705.97
2023-02-10,Analgesics,Aspirin,1187.18
2023-02-11,Cardiovascular,Amlodipine,617.96
2023-02-11,Antibiotics,Amoxicillin,502.95
2023-02-11,Analgesics,Ibuprofen,1348.22
2023-02-12,Cardiovascular,Losartan,1897.78
2023-02-12,Antibiotics,Ciprofloxacin,2259.05
2023-02-12,Analgesics,Ibuprofen,1606.05
2023-02-13,Cardiovascular,Amlodipine,2034.23
2023-02-13,Antibiotics,Azithromycin,1150.1
2023-02-13,Analgesics,Aspirin,1600.33
2023-02-14,Cardiovascular,Atorvastatin,1977.69
2023-02-14,Antibiotics,Azithromycin,982.53
2023-02-14,Analgesics,Paracetamol,1460.75
2023-02-15,Cardiovascular,Atorvastatin,1338.01
2023-02-15,Antibiotics,Ciprofloxacin,946.21
2023-02-15,Analgesics,Ibuprofen,561.41
2023-02-16,Cardiovascular,Losartan,1341.61
2023-02-16,Antibiotics,Ciprofloxacin,523.25
2023-02-16,Analgesics,Paracetamol,1343.25
2023-02-17,Cardiovascular,Atorvastatin,733.37
2023-02-17,Antibiotics,Ciprofloxacin,1832.0
2023-02-17,Analgesics,Ibuprofen,1697.35
2023-02-18,Cardiovascular,Atorvastatin,822.94
2023-02-18,Antibiotics,Amoxicillin,1098.73
2023-02-18,Analgesics,Ibuprofen,720.31
2023-02-19,Cardiovascular,Losartan,811.14
2023-02-19,Antibiotics,Azithromycin,1328.39
2023-02-19,Analgesics,Aspirin,2091.37
2023-02-20,Cardiovascular,Atorvastatin,753.95
2023-02-20,Antibiotics,Amoxicillin,1445.27
2023-02-20,Analgesics,Paracetamol,2038.06
2023-02-21,Cardiovascular,Losartan,1375.6
2023-02-21,Antibiotics,Amoxicillin,1395.39
2023-02-21,Analgesics,Ibuprofen,1667.84
2023-02-22,Cardiovascular,Atorvastatin,941.68
2023-02-22,Antibiotics,Amoxicillin,2248.67
2023-02-22,Analgesics,Paracetamol,2303.36
2023-02-23,Cardiovascular,Amlodipine,913.75
2023-02-23,Antibiotics,Amoxicillin,769.18
2023-02-23,Analgesics,Ibuprofen,656.94
2023-02-24,Cardiovascular,Amlodipine,1814.75
2023-02-24,Antibiotics,Azithromycin,2181.41
2023-02-24,Analgesics,Paracetamol,1861.99
2023-02-25,Cardiovascular,Losartan,1811.1
2023-02-25,Antibiotics,Azithromycin,2405.04
2023-02-25,Analgesics,Paracetamol,2180.27
2023-02-26,Cardiovascular,Amlodipine,1160.74
2023-02-26,Antibiotics,Azithromycin,2286.29
2023-02-26,Analgesics,Aspirin,1686.31
2023-02-27,Cardiovascular,Atorvastatin,1968.46
2023-02-27,Antibiotics,Azithromycin,2118.93
2023-02-27,Analgesics,Aspirin,1987.43
2023-02-28,Cardiovascular,Atorvastatin,2345.1
2023-02-28,Antibiotics,Ciprofloxacin,1251.41
2023-02-28,Analgesics,Ibuprofen,2461.16
2023-03-01,Cardiovascular,Atorvastatin,1133.15
2023-03-01,Antibiotics,Amoxicillin,2318.05
2023-03-01,Analgesics,Aspirin,2109.16
2023-03-02,Cardiovascular,Amlodipine,986.65
2023-03-02,Antibiotics,Ciprofloxacin,985.77
2023-03-02,Analgesics,Ibuprofen,938.48
2023-03-03,Cardiovascular,Atorvastatin,853.39
2023-03-03,Antibiotics,Amoxicillin,1424.2
2023-03-03,Analgesics,Paracetamol,667.72
2023-03-04,Cardiovascular,Losartan,2273.87
2023-03-04,Antibiotics,Azithromycin,1080.4
2023-03-04,Analgesics,Aspirin,1404.55
2023-03-05,Cardiovascular,Atorvastatin,2361.54
2023-03-05,Antibiotics,Ciprofloxacin,770.63
2023-03-05,Analgesics,Aspirin,1880.74
2023-03-06,Cardiovascular,Amlodipine,536.18
2023-03-06,Antibiotics,Amoxicillin,683.83
2023-03-06,Analgesics,Ibuprofen,1386.76
2023-03-07,Cardiovascular,Atorvastatin,1012.38
2023-03-07,Antibiotics,Amoxicillin,2428.64
2023-03-07,Analgesics,Ibuprofen,1994.97
2023-03-08,Cardiovascular,Atorvastatin,2025.85
2023-03-08,Antibiotics,Amoxicillin,1765.44
2023-03-08,Analgesics,Paracetamol,2376.33
2023-03-09,Cardiovascular,Losartan,1055.83
2023-03-09,Antibiotics,Ciprofloxacin,954.01
2023-03-09,Analgesics,Paracetamol,951.22
2023-03-10,Cardiovascular,Losartan,1724.05
2023-03-10,Antibiotics,Ciprofloxacin,2212.79
2023-03-10,Analgesics,Ibuprofen,879.28
2023-03-11,Cardiovascular,Amlodipine,1467.91
2023-03-11,Antibiotics,Ciprofloxacin,1197.95
2023-03-11,Analgesics,Paracetamol,1284.36
2023-03-12,Cardiovascular,Amlodipine,2460.54
2023-03-12,Antibiotics,Azithromycin,1361.92
2023-03-12,Analgesics,Ibuprofen,2430.12
2023-03-13,Cardiovascular,Atorvastatin,1570.83
2023-03-13,Antibiotics,Ciprofloxacin,1857.18
2023-03-13,Analgesics,Paracetamol,880.15
2023-03-14,Cardiovascular,Atorvastatin,1418.46
2023-03-14,Antibiotics,Ciprofloxacin,777.28
2023-03-14,Analgesics,Aspirin,995.27
2023-03-15,Cardiovascular,Losartan,2499.06
2023-03-15,Antibiotics,Amoxicillin,1018.77
2023-03-15,Analgesics,Ibuprofen,688.83
2023-03-16,Cardiovascular,Amlodipine,745.91
2023-03-16,Antibiotics,Azithromycin,1328.44
2023-03-16,Analgesics,Ibuprofen,1875.91
2023-03-17,Cardiovascular,Losartan,960.19
2023-03-17,Antibiotics,Amoxicillin,768.61
2023-03-17,Analgesics,Ibuprofen,2378.26
2023-03-18,Cardiovascular,Losartan,1386.84
2023-03-18,Antibiotics,Amoxicillin,2321.33
2023-03-18,Analgesics,Paracetamol,1141.45
2023-03-19,Cardiovascular,Losartan,1675.05
2023-03-19,Antibiotics,Ciprofloxacin,915.0
2023-03-19,Analgesics,Paracetamol,2055.37
2023-03-20,Cardiovascular,Losartan,1876.7
2023-03-20,Antibiotics,Azithromycin,1672.89
2023-03-20,Analgesics,Aspirin,1043.5
2023-03-21,Cardiovascular,Losartan,1570.5
2023-03-21,Antibiotics,Azithromycin,2041.97
2023-03-21,Analgesics,Ibuprofen,524.86
2023-03-22,Cardiovascular,Atorvastatin,714.49
2023-03-22,Antibiotics,Azithromycin,1376.54
2023-03-22,Analgesics,Paracetamol,1067.79
2023-03-23,Cardiovascular,Losartan,1183.03
2023-03-23,Antibiotics,Azithromycin,2347.25
2023-03-23,Analgesics,Paracetamol,1111.31
2023-03-24,Cardiovascular,Amlodipine,1472.55
2023-03-24,Antibiotics,Azithromycin,1315.83
2023-03-24,Analgesics,Ibuprofen,2326.24
2023-03-25,Cardiovascular,Losartan,1376.37
2023-03-25,Antibiotics,Azithromycin,775.2
2023-03-25,Analgesics,Paracetamol,825.84
2023-03-26,Cardiovascular,Losartan,1998.76
2023-03-26,Antibiotics,Ciprofloxacin,1529.91
2023-03-26,Analgesics,Aspirin,831.0
2023-03-27,Cardiovascular,Losartan,1902.38
2023-03-27,Antibiotics,Ciprofloxacin,1589.46
2023-03-27,Analgesics,Ibuprofen,1527.32
2023-03-28,Cardiovascular,Amlodipine,1712.88
2023-03-28,Antibiotics,Amoxicillin,1882.13
2023-03-28,Analgesics,Ibuprofen,2091.23
2023-03-29,Cardiovascular,Atorvastatin,2005.85
2023-03-29,Antibiotics,Azithromycin,2468.69
2023-03-29,Analgesics,Ibuprofen,1225.95
2023-03-30,Cardiovascular,Amlodipine,1014.53
2023-03-30,Antibiotics,Azithromycin,1378.77
2023-03-30,Analgesics,Ibuprofen,1355.22
2023-03-31,Cardiovascular,Amlodipine,790.39
2023-03-31,Antibiotics,Ciprofloxacin,1981.11
2023-03-31,Analgesics,Ibuprofen,1710.57
2023-04-01,Cardiovascular,Losartan,512.02
2023-04-01,Antibiotics,Amoxicillin,2397.27
2023-04-01,Analgesics,Ibuprofen,1834.95
2023-04-02,Cardiovascular,Amlodipine,2050.92
2023-04-02,Antibiotics,Ciprofloxacin,1778.4
2023-04-02,Analgesics,Aspirin,1972.9
2023-04-03,Cardiovascular,Losartan,871.19
2023-04-03,Antibiotics,Ciprofloxacin,1748.07
2023-04-03,Analgesics,Ibuprofen,1569.77
2023-04-04,Cardiovascular,Atorvastatin,1648.47
2023-04-04,Antibiotics,Ciprofloxacin,1407.14
2023-04-04,Analgesics,Aspirin,839.32
2023-04-05,Cardiovascular,Atorvastatin,800.73
2023-04-05,Antibiotics,Amoxicillin,1112.33
2023-04-05,Analgesics,Aspirin,1284.91
2023-04-06,Cardiovascular,Atorvastatin,1429.68
2023-04-06,Antibiotics,Amoxicillin,1330.43
2023-04-06,Analgesics,Paracetamol,2280.61
2023-04-07,Cardiovascular,Atorvastatin,1653.93
2023-04-07,Antibiotics,Amoxicillin,1634.67
2023-04-07,Analgesics,Aspirin,974.2
2023-04-08,Cardiovascular,Amlodipine,1669.69
2023-04-08,Antibiotics,Ciprofloxacin,1572.5
2023-04-08,Analgesics,Ibuprofen,1485.45
2023-04-09,Cardiovascular,Losartan,1135.22
2023-04-09,Antibiotics,Azithromycin,1090.54
2023-04-09,Analgesics,Paracetamol,674.2
2023-04-10,Cardiovascular,Amlodipine,1216.93
2023-04-10,Antibiotics,Azithromycin,2298.85
2023-04-10,Analgesics,Paracetamol,1479.01
2023-04-11,Cardiovascular,Losartan,1208.64
2023-04-11,Antibiotics,Azithromycin,2074.54
2023-04-11,Analgesics,Aspirin,1054.44
2023-04-12,Cardiovascular,Atorvastatin,656.21
2023-04-12,Antibiotics,Ciprofloxacin,1519.86
2023-04-12,Analgesics,Paracetamol,1693.65
2023-04-13,Cardiovascular,Amlodipine,1682.71
2023-04-13,Antibiotics,Amoxicillin,1473.95
2023-04-13,Analgesics,Aspirin,2327.06
2023-04-14,Cardiovascular,Atorvastatin,2392.97
2023-04-14,Antibiotics,Azithromycin,2110.15
2023-04-14,Analgesics,Paracetamol,2453.17
2023-04-15,Cardiovascular,Losartan,920.98
2023-04-15,Antibiotics,Amoxicillin,1314.7
2023-04-15,Analgesics,Paracetamol,571.95
2023-04-16,Cardiovascular,Atorvastatin,1550.36
2023-04-16,Antibiotics,Ciprofloxacin,1036.82
2023-04-16,Analgesics,Aspirin,984.34
2023-04-17,Cardiovascular,Amlodipine,1856.72
2023-04-17,Antibiotics,Azithromycin,1896.18
2023-04-17,Analgesics,Paracetamol,800.08
2023-04-18,Cardiovascular,Amlodipine,1674.09
2023-04-18,Antibiotics,Ciprofloxacin,997.6
2023-04-18,Analgesics,Ibuprofen,737.88
2023-04-19,Cardiovascular,Losartan,1889.26
2023-04-19,Antibiotics,Ciprofloxacin,690.03
2023-04-19,Analgesics,Ibuprofen,882.24
2023-04-20,Cardiovascular,Atorvastatin,909.23
2023-04-20,Antibiotics,Ciprofloxacin,1179.03
2023-04-20,Analgesics,Aspirin,2290.23
2023-04-21,Cardiovascular,Atorvastatin,2115.94
2023-04-21,Antibiotics,Azithromycin,786.62
2023-04-21,Analgesics,Ibuprofen,1302.25
2023-04-22,Cardiovascular,Atorvastatin,1627.21
2023-04-22,Antibiotics,Amoxicillin,1556.56
2023-04-22,Analgesics,Ibuprofen,1536.76
2023-04-23,Cardiovascular,Losartan,874.3
2023-04-23,Antibiotics,Ciprofloxacin,1967.15
2023-04-23,Analgesics,Ibuprofen,2090.73
2023-04-24,Cardiovascular,Atorvastatin,2105.3
2023-04-24,Antibiotics,Amoxicillin,2229.8
2023-04-24,Analgesics,Aspirin,1816.26
2023-04-25,Cardiovascular,Amlodipine,2002.82
2023-04-25,Antibiotics,Azithromycin,1195.09
2023-04-25,Analgesics,Paracetamol,1711.58
2023-04-26,Cardiovascular,Amlodipine,1755.02
2023-04-26,Antibiotics,Amoxicillin,730.57
2023-04-26,Analgesics,Paracetamol,1195.65
2023-04-27,Cardiovascular,Atorvastatin,1849.86
2023-04-27,Antibiotics,Amoxicillin,847.56
2023-04-27,Analgesics,Ibuprofen,1018.6
2023-04-28,Cardiovascular,Atorvastatin,905.28
2023-04-28,Antibiotics,Amoxicillin,2419.06
2023-04-28,Analgesics,Paracetamol,784.46
2023-04-29,Cardiovascular,Losartan,1400.01
2023-04-29,Antibiotics,Amoxicillin,1428.24
2023-04-29,Analgesics,Aspirin,1163.52
2023-04-30,Cardiovascular,Losartan,1084.81
2023-04-30,Antibiotics,Ciprofloxacin,2466.87
2023-04-30,Analgesics,Paracetamol,1393.88
2023-05-01,Cardiovascular,Amlodipine,1384.96
2023-05-01,Antibiotics,Ciprofloxacin,2333.23
2023-05-01,Analgesics,Ibuprofen,1466.04
2023-05-02,Cardiovascular,Amlodipine,519.94
2023-05-02,Antibiotics,Azithromycin,1256.32
2023-05-02,Analgesics,Paracetamol,2185.18
2023-05-03,Cardiovascular,Atorvastatin,939.96
2023-05-03,Antibiotics,Amoxicillin,1676.82
2023-05-03,Analgesics,Ibuprofen,2190.43
2023-05-04,Cardiovascular,Amlodipine,917.0
2023-05-04,Antibiotics,Ciprofloxacin,1378.42
2023-05-04,Analgesics,Ibuprofen,2166.31
2023-05-05,Cardiovascular,Amlodipine,1005.55
2023-05-05,Antibiotics,Ciprofloxacin,2018.86
2023-05-05,Analgesics,Paracetamol,916.07
2023-05-06,Cardiovascular,Amlodipine,2302.03
2023-05-06,Antibiotics,Ciprofloxacin,1253.81
2023-05-06,Analgesics,Paracetamol,1851.16
2023-05-07,Cardiovascular,Amlodipine,527.76
2023-05-07,Antibiotics,Ciprofloxacin,2100.08
2023-05-07,Analgesics,Paracetamol,1040.54
2023-05-08,Cardiovascular,Losartan,1520.18
2023-05-08,Antibiotics,Ciprofloxacin,676.99
2023-05-08,Analgesics,Paracetamol,1370.44
2023-05-09,Cardiovascular,Amlodipine,1660.68
2023-05-09,Antibiotics,Amoxicillin,1000.08
2023-05-09,Analgesics,Ibuprofen,507.9
2023-05-10,Cardiovascular,Losartan,2397.92
2023-05-10,Antibiotics,Ciprofloxacin,775.57
2023-05-10,Analgesics,Paracetamol,2177.31
2023-05-11,Cardiovascular,Amlodipine,1229.03
2023-05-11,Antibiotics,Ciprofloxacin,1916.14
2023-05-11,Analgesics,Aspirin,718.36
2023-05-12,Cardiovascular,Losartan,889.42
2023-05-12,Antibiotics,Ciprofloxacin,2316.73
2023-05-12,Analgesics,Aspirin,1099.76
2023-05-13,Cardiovascular,Atorvastatin,592.14
2023-05-13,Antibiotics,Ciprofloxacin,2253.18
2023-05-13,Analgesics,Ibuprofen,1577.56
2023-05-14,Cardiovascular,Losartan,1841.81
2023-05-14,Antibiotics,Ciprofloxacin,2054.55
2023-05-14,Analgesics,Aspirin,1501.92
2023-05-15,Cardiovascular,Atorvastatin,2120.93
2023-05-15,Antibiotics,Azithromycin,1226.94
2023-05-15,Analgesics,Paracetamol,609.23
2023-05-16,Cardiovascular,Atorvastatin,1193.35
2023-05-16,Antibiotics,Azithromycin,2235.54
2023-05-16,Analgesics,Aspirin,526.12
2023-05-17,Cardiovascular,Losartan,1217.41
2023-05-17,Antibiotics,Ciprofloxacin,2361.32
2023-05-17,Analgesics,Paracetamol,817.46
2023-05-18,Cardiovascular,Losartan,1834.09
2023-05-18,Antibiotics,Amoxicillin,2299.29
2023-05-18,Analgesics,Aspirin,909.59
2023-05-19,Cardiovascular,Atorvastatin,922.6
2023-05-19,Antibiotics,Amoxicillin,1070.39
2023-05-19,Analgesics,Ibuprofen,2418.08
2023-05-20,Cardiovascular,Atorvastatin,826.5
2023-05-20,Antibiotics,Amoxicillin,2298.92
2023-05-20,Analgesics,Paracetamol,870.98
2023-05-21,Cardiovascular,Amlodipine,1625.59
2023-05-21,Antibiotics,Azithromycin,1946.52
2023-05-21,Analgesics,Ibuprofen,2374.49
2023-05-22,Cardiovascular,Losartan,1256.85
2023-05-22,Antibiotics,Azithromycin,928.66
2023-05-22,Analgesics,Aspirin,1233.85
2023-05-23,Cardiovascular,Amlodipine,1413.39
2023-05-23,Antibiotics,Ciprofloxacin,1149.97
2023-05-23,Analgesics,Aspirin,1333.51
2023-05-24,Cardiovascular,Atorvastatin,1697.15
2023-05-24,Antibiotics,Azithromycin,2443.85
2023-05-24,Analgesics,Paracetamol,1156.55
2023-05-25,Cardiovascular,Losartan,2466.23
2023-05-25,Antibiotics,Azithromycin,1608.05
2023-05-25,Analgesics,Ibuprofen,827.9
2023-05-26,Cardiovascular,Losartan,2350.52
2023-05-26,Antibiotics,Amoxicillin,1624.83
2023-05-26,Analgesics,Ibuprofen,597.15
2023-05-27,Cardiovascular,Losartan,1273.16
2023-05-27,Antibiotics,Azithromycin,737.29
2023-05-27,Analgesics,Aspirin,1596.04
2023-05-28,Cardiovascular,Losartan,1191.11
2023-05-28,Antibiotics,Amoxicillin,928.58
2023-05-28,Analgesics,Aspirin,783.15
2023-05-29,Cardiovascular,Losartan,2170.51
2023-05-29,Antibiotics,Ciprofloxacin,1163.07
2023-05-29,Analgesics,Ibuprofen,2496.38
2023-05-30,Cardiovascular,Amlodipine,1576.68
2023-05-30,Antibiotics,Ciprofloxacin,1040.69
2023-05-30,Analgesics,Paracetamol,537.74
2023-05-31,Cardiovascular,Amlodipine,1452.3
2023-05-31,Antibiotics,Azithromycin,769.61
2023-05-31,Analgesics,Paracetamol,2452.9
2023-06-01,Cardiovascular,Amlodipine,1929.34
2023-06-01,Antibiotics,Ciprofloxacin,2249.13
2023-06-01,Analgesics,Ibuprofen,1801.79
2023-06-02,Cardiovascular,Losartan,1098.9
2023-06-02,Antibiotics,Amoxicillin,709.36
2023-06-02,Analgesics,Ibuprofen,1168.34
2023-06-03,Cardiovascular,Atorvastatin,1287.71
2023-06-03,Antibiotics,Amoxicillin,2126.12
2023-06-03,Analgesics,Paracetamol,775.07
2023-06-04,Cardiovascular,Losartan,2318.79
2023-06-04,Antibiotics,Ciprofloxacin,1356.21
2023-06-04,Analgesics,Aspirin,1595.48
2023-06-05,Cardiovascular,Atorvastatin,1643.57
2023-06-05,Antibiotics,Azithromycin,1877.26
2023-06-05,Analgesics,Paracetamol,2315.03
2023-06-06,Cardiovascular,Amlodipine,1580.62
2023-06-06,Antibiotics,Azithromycin,1038.62
2023-06-06,Analgesics,Aspirin,1047.8
2023-06-07,Cardiovascular,Atorvastatin,2268.67
2023-06-07,Antibiotics,Amoxicillin,1166.82
2023-06-07,Analgesics,Ibuprofen,1498.91
2023-06-08,Cardiovascular,Amlodipine,1418.84
2023-06-08,Antibiotics,Ciprofloxacin,1907.16
2023-06-08,Analgesics,Ibuprofen,556.75
2023-06-09,Cardiovascular,Losartan,1309.24
2023-06-09,Antibiotics,Amoxicillin,1541.39
2023-06-09,Analgesics,Aspirin,1790.1
2023-06-10,Cardiovascular,Losartan,1049.23
2023-06-10,Antibiotics,Amoxicillin,2262.72
2023-06-10,Analgesics,Ibuprofen,1451.39
2023-06-11,Cardiovascular,Atorvastatin,1776.36
2023-06-11,Antibiotics,Azithromycin,1181.76
2023-06-11,Analgesics,Ibuprofen,1914.98
2023-06-12,Cardiovascular,Amlodipine,1652.2
2023-06-12,Antibiotics,Ciprofloxacin,583.13
2023-06-12,Analgesics,Paracetamol,854.66
2023-06-13,Cardiovascular,Amlodipine,1775.23
2023-06-13,Antibiotics,Ciprofloxacin,883.93
2023-06-13,Analgesics,Ibuprofen,2326.96
2023-06-14,Cardiovascular,Atorvastatin,1037.97
2023-06-14,Antibiotics,Azithromycin,2205.13
2023-06-14,Analgesics,Aspirin,1815.9
2023-06-15,Cardiovascular,Atorvastatin,1930.35
2023-06-15,Antibiotics,Amoxicillin,809.87
2023-06-15,Analgesics,Paracetamol,1853.33
2023-06-16,Cardiovascular,Losartan,1366.48
2023-06-16,Antibiotics,Amoxicillin,2042.42
2023-06-16,Analgesics,Paracetamol,1046.61
2023-06-17,Cardiovascular,Losartan,972.06
2023-06-17,Antibiotics,Amoxicillin,2400.91
2023-06-17,Analgesics,Ibuprofen,933.16
2023-06-18,Cardiovascular,Losartan,1359.21
2023-06-18,Antibiotics,Azithromycin,1356.69
2023-06-18,Analgesics,Aspirin,1777.1
2023-06-19,Cardiovascular,Atorvastatin,1181.3
2023-06-19,Antibiotics,Amoxicillin,1813.52
2023-06-19,Analgesics,Ibuprofen,780.62
2023-06-20,Cardiovascular,Atorvastatin,1134.07
2023-06-20,Antibiotics,Azithromycin,2241.6
2023-06-20,Analgesics,Paracetamol,1580.61
2023-06-21,Cardiovascular,Losartan,1102.01
2023-06-21,Antibiotics,Azithromycin,1683.97
2023-06-21,Analgesics,Aspirin,515.39
2023-06-22,Cardiovascular,Losartan,506.55
2023-06-22,Antibiotics,Azithromycin,1837.48
2023-06-22,Analgesics,Aspirin,2128.49
2023-06-23,Cardiovascular,Amlodipine,1706.74
2023-06-23,Antibiotics,Azithromycin,947.33
2023-06-23,Analgesics,Aspirin,582.87
2023-06-24,Cardiovascular,Losartan,1549.62
2023-06-24,Antibiotics,Amoxicillin,1169.15
2023-06-24,Analgesics,Paracetamol,1928.5
2023-06-25,Cardiovascular,Losartan,2342.08
2023-06-25,Antibiotics,Amoxicillin,1690.62
2023-06-25,Analgesics,Ibuprofen,1100.43
2023-06-26,Cardiovascular,Amlodipine,564.57
2023-06-26,Antibiotics,Amoxicillin,655.12
2023-06-26,Analgesics,Aspirin,1584.55
2023-06-27,Cardiovascular,Amlodipine,1463.05
2023-06-27,Antibiotics,Azithromycin,1157.45
2023-06-27,Analgesics,Aspirin,1222.15
2023-06-28,Cardiovascular,Amlodipine,1228.09
